а,bulgarian
автентичен,bulgarian
аз,bulgarian
ако,bulgarian
ала,bulgarian
бе,bulgarian
без,bulgarian
беше,bulgarian
би,bulgarian
бивш,bulgarian
бивша,bulgarian
бившо,bulgarian
бил,bulgarian
била,bulgarian
били,bulgarian
било,bulgarian
благодаря,bulgarian
близо,bulgarian
бъдат,bulgarian
бъде,bulgarian
бяха,bulgarian
в,bulgarian
вас,bulgarian
ваш,bulgarian
ваша,bulgarian
вероятно,bulgarian
вече,bulgarian
взема,bulgarian
ви,bulgarian
вие,bulgarian
винаги,bulgarian
внимава,bulgarian
време,bulgarian
все,bulgarian
всеки,bulgarian
всички,bulgarian
всичко,bulgarian
всяка,bulgarian
във,bulgarian
въпреки,bulgarian
върху,bulgarian
г,bulgarian
ги,bulgarian
главен,bulgarian
главна,bulgarian
главно,bulgarian
глас,bulgarian
го,bulgarian
година,bulgarian
години,bulgarian
годишен,bulgarian
д,bulgarian
да,bulgarian
дали,bulgarian
два,bulgarian
двама,bulgarian
двамата,bulgarian
две,bulgarian
двете,bulgarian
ден,bulgarian
днес,bulgarian
дни,bulgarian
до,bulgarian
добра,bulgarian
добре,bulgarian
добро,bulgarian
добър,bulgarian
докато,bulgarian
докога,bulgarian
дори,bulgarian
досега,bulgarian
доста,bulgarian
друг,bulgarian
друга,bulgarian
други,bulgarian
е,bulgarian
евтин,bulgarian
едва,bulgarian
един,bulgarian
една,bulgarian
еднаква,bulgarian
еднакви,bulgarian
еднакъв,bulgarian
едно,bulgarian
екип,bulgarian
ето,bulgarian
живот,bulgarian
за,bulgarian
забавям,bulgarian
зад,bulgarian
заедно,bulgarian
заради,bulgarian
засега,bulgarian
заспал,bulgarian
затова,bulgarian
защо,bulgarian
защото,bulgarian
и,bulgarian
из,bulgarian
или,bulgarian
им,bulgarian
има,bulgarian
имат,bulgarian
иска,bulgarian
й,bulgarian
каза,bulgarian
как,bulgarian
каква,bulgarian
какво,bulgarian
както,bulgarian
какъв,bulgarian
като,bulgarian
кога,bulgarian
когато,bulgarian
което,bulgarian
които,bulgarian
кой,bulgarian
който,bulgarian
колко,bulgarian
която,bulgarian
къде,bulgarian
където,bulgarian
към,bulgarian
лесен,bulgarian
лесно,bulgarian
ли,bulgarian
лош,bulgarian
м,bulgarian
май,bulgarian
малко,bulgarian
ме,bulgarian
между,bulgarian
мек,bulgarian
мен,bulgarian
месец,bulgarian
ми,bulgarian
много,bulgarian
мнозина,bulgarian
мога,bulgarian
могат,bulgarian
може,bulgarian
мокър,bulgarian
моля,bulgarian
момента,bulgarian
му,bulgarian
н,bulgarian
на,bulgarian
над,bulgarian
назад,bulgarian
най,bulgarian
направи,bulgarian
напред,bulgarian
например,bulgarian
нас,bulgarian
не,bulgarian
него,bulgarian
нещо,bulgarian
нея,bulgarian
ни,bulgarian
ние,bulgarian
никой,bulgarian
нито,bulgarian
нищо,bulgarian
но,bulgarian
нов,bulgarian
нова,bulgarian
нови,bulgarian
новина,bulgarian
някои,bulgarian
някой,bulgarian
няколко,bulgarian
няма,bulgarian
обаче,bulgarian
около,bulgarian
освен,bulgarian
особено,bulgarian
от,bulgarian
отгоре,bulgarian
отново,bulgarian
още,bulgarian
пак,bulgarian
по,bulgarian
повече,bulgarian
повечето,bulgarian
под,bulgarian
поне,bulgarian
поради,bulgarian
после,bulgarian
почти,bulgarian
прави,bulgarian
пред,bulgarian
преди,bulgarian
през,bulgarian
при,bulgarian
пък,bulgarian
първата,bulgarian
първи,bulgarian
първо,bulgarian
пъти,bulgarian
равен,bulgarian
равна,bulgarian
с,bulgarian
са,bulgarian
сам,bulgarian
само,bulgarian
се,bulgarian
сега,bulgarian
си,bulgarian
син,bulgarian
скоро,bulgarian
след,bulgarian
следващ,bulgarian
сме,bulgarian
смях,bulgarian
според,bulgarian
сред,bulgarian
срещу,bulgarian
сте,bulgarian
съм,bulgarian
със,bulgarian
също,bulgarian
т,bulgarian
тази,bulgarian
така,bulgarian
такива,bulgarian
такъв,bulgarian
там,bulgarian
твой,bulgarian
те,bulgarian
тези,bulgarian
ти,bulgarian
т.н.,bulgarian
то,bulgarian
това,bulgarian
тогава,bulgarian
този,bulgarian
той,bulgarian
толкова,bulgarian
точно,bulgarian
три,bulgarian
трябва,bulgarian
тук,bulgarian
тъй,bulgarian
тя,bulgarian
тях,bulgarian
у,bulgarian
утре,bulgarian
харесва,bulgarian
хиляди,bulgarian
ч,bulgarian
часа,bulgarian
че,bulgarian
често,bulgarian
чрез,bulgarian
ще,bulgarian
щом,bulgarian
юмрук,bulgarian
я,bulgarian
як,bulgarian
a,catalan
abans,catalan
algun,catalan
alguna,catalan
algunes,catalan
alguns,catalan
altre,catalan
amb,catalan
ambdós,catalan
anar,catalan
ans,catalan
aquell,catalan
aquelles,catalan
aquells,catalan
aquí,catalan
bastant,catalan
bé,catalan
cada,catalan
com,catalan
consegueixo,catalan
conseguim,catalan
conseguir,catalan
consigueix,catalan
consigueixen,catalan
consigueixes,catalan
dalt,catalan
de,catalan
des de,catalan
dins,catalan
el,catalan
elles,catalan
ells,catalan
els,catalan
en,catalan
ens,catalan
entre,catalan
era,catalan
erem,catalan
eren,catalan
eres,catalan
es,catalan
és,catalan
éssent,catalan
està,catalan
estan,catalan
estat,catalan
estava,catalan
estem,catalan
esteu,catalan
estic,catalan
ets,catalan
fa,catalan
faig,catalan
fan,catalan
fas,catalan
fem,catalan
fer,catalan
feu,catalan
fi,catalan
haver,catalan
